id,line,route_id,vehicle_type,bearing,delay,longitude,latitude,last_update
2040,78,4025,2,135,1,16.696095,49.197266,2025-03-09T07:51:29.708Z
22041,514,306,4,225,0,16.616663,49.092323,2025-03-09T07:51:29.708Z
7701,41,4005,2,0,0,16.59584,49.230591,2025-03-09T07:51:29.709Z
2023,84,4021,2,315,0,16.600733,49.185474,2025-03-09T07:51:29.709Z
30454,S91,2703,5,315,1,17.22958,48.87315,2025-03-09T07:51:29.709Z
7072,58,4009,2,180,0,16.694077,49.203793,2025-03-09T07:51:29.709Z
21690,108,308,4,90,0,16.501572,48.977707,2025-03-09T07:51:29.709Z
7095,46,4017,2,225,1,16.623837,49.21455,2025-03-09T07:51:29.709Z
21041,105,387,4,225,0,16.536757,48.87632,2025-03-09T07:51:29.709Z
1813,5,4014,0,0,0,16.598454,49.164566,2025-03-09T07:51:29.707Z
30030,R13,805,5,135,0,16.619471,48.950977,2025-03-09T07:51:29.708Z
21711,157,204,4,135,1,16.744284,49.296852,2025-03-09T07:51:29.708Z
31055,S51,14608,5,315,1,16.755184,48.897751,2025-03-09T07:51:29.708Z
2661,78,4026,2,180,0,16.632088,49.141479,2025-03-09T07:51:29.708Z
2635,44,4023,2,0,0,16.648355,49.191154,2025-03-09T07:51:29.708Z
2679,44,4019,2,225,0,16.57391,49.21867,2025-03-09T07:51:29.709Z
30054,R13,814,5,315,2,16.853827,48.837749,2025-03-09T07:51:29.708Z
21557,504,306,4,0,4,16.548847,49.064449,2025-03-09T07:51:29.708Z
1764,8,4026,0,45,0,16.613346,49.191723,2025-03-09T07:51:29.708Z
1811,2,4030,0,225,0,16.598112,49.16494,2025-03-09T07:51:29.708Z
21921,934,202,4,135,8,17.261652,48.978008,2025-03-09T07:51:29.708Z
3326,39,4012,1,315,0,16.576309,49.20084,2025-03-09T07:51:29.708Z
30461,S91,2743,5,-1,0,17.318193,48.897453,2025-03-09T07:51:29.708Z
